"date","people_vaccinated_per_hundred","new_deaths_smoothed","icu_patients"
2020-12-27,0.03,818.29,5562
2020-12-28,0.05,818.29,5600
2020-12-29,0.11,818.29,5649
2020-12-30,0.19,818.29,5647
2020-12-31,0.25,818.29,5638
2021-01-01,0.28,818.29,5604
2021-01-02,0.34,818.29,5724
2021-01-03,0.36,820.57,5761
2021-01-04,0.42,820.57,5744
2021-01-05,0.48,820.57,5671
2021-01-06,0.56,820.57,5572
2021-01-07,0.62,820.57,5492
2021-01-08,0.7,820.57,5486
2021-01-09,0.77,820.57,5414
2021-01-10,0.81,822.71,5320
2021-01-11,0.9,822.71,5288
2021-01-12,0.99,822.71,5230
2021-01-13,1.13,822.71,5185
2021-01-14,1.23,822.71,5126
2021-01-15,1.34,822.71,5074
2021-01-16,1.41,822.71,5015
2021-01-17,1.44,728,4972
2021-01-18,1.52,728,5005
2021-01-19,1.62,728,4947
2021-01-20,1.72,728,4835
2021-01-21,1.8,728,4787
2021-01-22,1.88,728,4769
2021-01-23,1.93,728,4657
2021-01-24,1.96,586.71,4624
2021-01-25,2.02,586.71,4620
2021-01-26,2.08,586.71,4571
2021-01-27,2.14,586.71,4501
2021-01-28,2.2,586.71,4438
2021-01-29,2.26,586.71,4376
2021-01-30,2.3,586.71,4351
2021-01-31,2.33,443.14,4346
2021-02-01,2.4,443.14,4322
2021-02-02,2.48,443.14,4263
2021-02-03,2.56,443.14,4222
2021-02-04,2.63,443.14,4178
2021-02-05,2.72,443.14,4072
2021-02-06,2.77,443.14,3965
2021-02-07,2.81,324,3932
2021-02-08,2.87,324,3956
2021-02-09,2.94,324,3847
2021-02-10,3.04,324,3738
2021-02-11,3.13,324,3675
2021-02-12,3.22,324,3551
2021-02-13,3.3,324,3485
2021-02-14,3.34,240,3424
2021-02-15,3.43,240,3436
2021-02-16,3.52,240,3354
2021-02-17,3.64,240,3248
2021-02-18,3.75,240,3178
2021-02-19,3.87,240,3121
2021-02-20,3.96,240,3081
2021-02-21,4.03,211.14,3056
2021-02-22,4.15,211.14,3058
2021-02-23,4.28,211.14,3037
2021-02-24,4.42,211.14,2956
2021-02-25,4.58,211.14,2899
2021-02-26,4.76,211.14,2848
2021-02-27,4.89,211.14,2826
2021-02-28,4.98,175.29,2840
2021-03-01,5.16,175.29,2869
2021-03-02,5.36,175.29,2855
2021-03-03,5.58,175.29,2823
2021-03-04,5.8,175.29,2814
2021-03-05,6.05,175.29,2765
2021-03-06,6.23,175.29,2755
2021-03-07,6.37,149.86,2787
2021-03-08,6.59,149.86,2865
2021-03-09,6.83,149.86,2785
2021-03-10,7.1,149.86,2736
2021-03-11,7.37,149.86,2758
2021-03-12,7.68,149.86,2755
2021-03-13,7.91,149.86,2719
2021-03-14,8.07,157.71,2773
2021-03-15,8.3,157.71,2833
2021-03-16,8.43,157.71,2852
2021-03-17,8.58,157.71,2859
2021-03-18,8.72,157.71,2895
2021-03-19,8.91,157.71,2951
2021-03-20,9.12,157.71,2958
2021-03-21,9.27,182.43,3056
2021-03-22,9.5,182.43,3150
2021-03-23,9.76,182.43,3168
2021-03-24,10.06,182.43,3207
2021-03-25,10.36,182.43,3261
2021-03-26,10.7,182.43,3333
2021-03-27,10.97,182.43,3390
2021-03-28,11.14,218,3455
2021-03-29,11.4,218,3571
2021-03-30,11.68,218,3599
2021-03-31,11.96,218,3680
2021-04-01,12.25,218,3730
2021-04-02,12.44,218,3850
2021-04-03,12.64,218,3917
2021-04-04,12.81,227.14,4060
2021-04-05,13.03,227.14,4164
2021-04-06,13.38,227.14,4357
2021-04-07,14.14,227.14,4443
2021-04-08,14.89,227.14,4477
2021-04-09,15.53,227.14,4515
2021-04-10,15.9,227.14,4535
2021-04-11,16.15,226,4585
2021-04-12,16.55,226,4662
2021-04-13,17.19,226,4692
2021-04-14,18.06,226,4680
2021-04-15,18.79,226,4684
2021-04-16,19.4,226,4740
2021-04-17,19.76,226,4786
2021-04-18,20.04,232.43,4844
2021-04-19,20.44,232.43,4932
2021-04-20,21.07,232.43,4968
2021-04-21,21.88,232.43,4988
2021-04-22,22.57,232.43,5050
2021-04-23,23.13,232.43,5054
2021-04-24,23.5,232.43,5025
2021-04-25,23.78,231.71,5052
2021-04-26,24.21,231.71,5120
2021-04-27,25.13,231.71,5064
2021-04-28,26.36,231.71,5046
2021-04-29,27.33,231.71,5033
2021-04-30,28.09,231.71,5024
2021-05-01,28.39,231.71,5009
2021-05-02,28.62,186.71,5028
2021-05-03,29.03,186.71,5007
2021-05-04,29.91,186.71,4954
2021-05-05,31.07,186.71,4839
2021-05-06,32.01,186.71,4766
2021-05-07,32.76,186.71,4672
2021-05-08,33.07,186.71,4607
2021-05-09,33.29,144.29,4583
2021-05-10,33.78,144.29,4582
2021-05-11,34.82,144.29,4460
2021-05-12,36.14,144.29,4374
2021-05-13,36.45,144.29,4255
2021-05-14,37.07,144.29,4179
2021-05-15,37.35,144.29,4090
2021-05-16,37.54,96.57,4065
2021-05-17,37.96,96.57,4015
2021-05-18,38.63,96.57,3877
2021-05-19,39.38,96.57,3707
2021-05-20,39.96,96.57,3593
2021-05-21,40.46,96.57,3473
2021-05-22,40.69,96.57,3358
2021-05-23,40.83,64,3303
2021-05-24,41,64,3234
2021-05-25,41.38,64,3179
2021-05-26,42.09,64,3000
2021-05-27,42.69,64,2836
2021-05-28,43.21,64,2702
2021-05-29,43.43,64,2594
2021-05-30,43.56,37.29,2517
2021-05-31,43.86,37.29,2451
2021-06-01,44.46,37.29,2289
2021-06-02,45.25,37.29,2148
2021-06-03,45.6,37.29,2035
2021-06-04,46.03,37.29,1969
2021-06-05,46.19,37.29,1896
2021-06-06,46.27,20.14,1853
2021-06-07,46.56,20.14,1795
2021-06-08,47.09,20.14,1699
2021-06-09,47.78,20.14,1598
2021-06-10,48.4,20.14,1507
2021-06-11,48.95,20.14,1420
2021-06-12,49.15,20.14,1343
2021-06-13,49.23,9.57,1337
2021-06-14,49.55,9.57,1281
2021-06-15,50.08,9.57,1208
2021-06-16,50.76,9.57,1135
2021-06-17,51.34,9.57,1069
2021-06-18,51.83,9.57,1010
2021-06-19,52.01,9.57,965
2021-06-20,52.1,6.71,931
2021-06-21,52.38,6.71,889
2021-06-22,52.91,6.71,850
2021-06-23,53.58,6.71,811
2021-06-24,54.24,6.71,779
2021-06-25,54.74,6.71,735
2021-06-26,54.92,6.71,716
2021-06-27,55.03,4.29,706
2021-06-28,55.34,4.29,689
2021-06-29,55.87,4.29,664
2021-06-30,56.5,4.29,614
2021-07-01,57.06,4.29,590
2021-07-02,57.53,4.29,565
2021-07-03,57.73,4.29,549
2021-07-04,57.84,3.57,548
2021-07-05,58.09,3.57,526
2021-07-06,58.46,3.57,509
2021-07-07,58.89,3.57,484
2021-07-08,59.24,3.57,470
2021-07-09,59.51,3.57,453
2021-07-10,59.64,3.57,435
2021-07-11,59.72,3.57,432
2021-07-12,59.91,3.57,435
2021-07-13,60.16,3.57,406
2021-07-14,60.45,3.57,398
2021-07-15,60.69,3.57,396
2021-07-16,60.9,3.57,379
2021-07-17,61.01,3.57,372
2021-07-18,61.09,4.29,371
2021-07-19,61.21,4.29,368
2021-07-20,61.39,4.29,361
2021-07-21,61.61,4.29,357
2021-07-22,61.78,4.29,354
2021-07-23,61.93,4.29,356
2021-07-24,62,4.29,354
2021-07-25,62.05,5.71,371
2021-07-26,62.15,5.71,369
2021-07-27,62.29,5.71,370
2021-07-28,62.46,5.71,356
2021-07-29,62.61,5.71,347
2021-07-30,62.74,5.71,352
2021-07-31,62.81,5.71,361
2021-08-01,62.85,10.29,364
2021-08-02,62.94,10.29,378
2021-08-03,63.05,10.29,378
2021-08-04,63.19,10.29,392
2021-08-05,63.32,10.29,387
2021-08-06,63.43,10.29,393
2021-08-07,63.5,10.29,416
2021-08-08,63.53,12.71,434
2021-08-09,63.61,12.71,456
2021-08-10,63.72,12.71,443
2021-08-11,63.87,12.71,454
2021-08-12,64.02,12.71,472
2021-08-13,64.16,12.71,480
2021-08-14,64.24,12.71,489
2021-08-15,64.29,20.57,517
2021-08-16,64.39,20.57,547
2021-08-17,64.54,20.57,576
2021-08-18,64.72,20.57,600
2021-08-19,64.88,20.57,623
2021-08-20,65.03,20.57,652
2021-08-21,65.12,20.57,682
2021-08-22,65.16,32,714
2021-08-23,65.27,32,776
2021-08-24,65.43,32,805
2021-08-25,65.61,32,836
2021-08-26,65.78,32,869
2021-08-27,65.93,32,925
2021-08-28,66.01,32,974
2021-08-29,66.06,50.14,1011
2021-08-30,66.16,50.14,1069
2021-08-31,66.31,50.14,1096
2021-09-01,66.48,50.14,1136
2021-09-02,66.62,50.14,1170
2021-09-03,66.74,50.14,1217
2021-09-04,66.8,50.14,1261
2021-09-05,66.83,61.71,1287
2021-09-06,66.91,61.71,1322
2021-09-07,67.03,61.71,1349
2021-09-08,67.17,61.71,1387
2021-09-09,67.3,61.71,1396
2021-09-10,67.4,61.71,1412
2021-09-11,67.46,61.71,1437
2021-09-12,67.48,64.14,1453
2021-09-13,67.56,64.14,1500
2021-09-14,67.68,64.14,1540
2021-09-15,67.82,64.14,1527
2021-09-16,67.96,64.14,1550
2021-09-17,68.06,64.14,1544
2021-09-18,68.11,64.14,1523
2021-09-19,68.14,55,1535
2021-09-20,68.2,55,1541
2021-09-21,68.31,55,1504
2021-09-22,68.42,55,1500
2021-09-23,68.54,55,1458
2021-09-24,68.63,55,1434
2021-09-25,68.67,55,1436
2021-09-26,68.69,50.57,1435
2021-09-27,68.75,50.57,1434
2021-09-28,68.85,50.57,1414
2021-09-29,68.94,50.57,1364
2021-09-30,69.03,50.57,1357
2021-10-01,69.09,50.57,1363
2021-10-02,69.1,50.57,1332
2021-10-03,69.11,60.43,1334
2021-10-04,69.14,60.43,1349
2021-10-05,69.22,60.43,1361
2021-10-06,69.3,60.43,1359
2021-10-07,69.39,60.43,1374
2021-10-08,69.44,60.43,1352
2021-10-09,69.46,60.43,1342
2021-10-10,69.47,69.86,1345
2021-10-11,69.51,69.86,1354
2021-10-12,69.58,69.86,1383
2021-10-13,69.65,69.86,1401
2021-10-14,69.73,69.86,1395
2021-10-15,69.78,69.86,1402
2021-10-16,69.8,69.86,1407
2021-10-17,69.8,83,1421
2021-10-18,69.83,83,1458
2021-10-19,69.9,83,1476
2021-10-20,69.96,83,1482
2021-10-21,70.03,83,1540
2021-10-22,70.08,83,1542
2021-10-23,70.09,83,1606
2021-10-24,70.1,150.14,1630
2021-10-25,70.13,150.14,1682
2021-10-26,70.19,150.14,1704
2021-10-27,70.26,150.14,1765
2021-10-28,70.32,150.14,1810
2021-10-29,70.37,150.14,1870
2021-10-30,70.39,150.14,1937
2021-10-31,70.39,182,1985
2021-11-01,70.41,182,2060
2021-11-02,70.46,182,2137
2021-11-03,70.53,182,2226
2021-11-04,70.6,182,2333
2021-11-05,70.65,182,2420
2021-11-06,70.67,182,2449
2021-11-07,70.68,238.86,2543
2021-11-08,70.71,238.86,2622
2021-11-09,70.79,238.86,2687
2021-11-10,70.87,238.86,2739
2021-11-11,70.95,238.86,2830
2021-11-12,71.02,238.86,2864
2021-11-13,71.05,238.86,2941
2021-11-14,71.06,326.57,3034
2021-11-15,71.11,326.57,3194
2021-11-16,71.19,326.57,3285
2021-11-17,71.28,326.57,3378
2021-11-18,71.38,326.57,3431
2021-11-19,71.47,326.57,3513
2021-11-20,71.53,326.57,3566
2021-11-21,71.55,387.14,3678
2021-11-22,71.63,387.14,3855
2021-11-23,71.78,387.14,3994
2021-11-24,71.95,387.14,4078
2021-11-25,72.13,387.14,4205
2021-11-26,72.27,387.14,4328
2021-11-27,72.4,387.14,4383
2021-11-28,72.43,441.86,4478
2021-11-29,72.53,441.86,4605
2021-11-30,72.68,441.86,4642
2021-12-01,72.83,441.86,4690
2021-12-02,72.97,441.86,4797
2021-12-03,73.09,441.86,4796
2021-12-04,73.19,441.86,4805
2021-12-05,73.22,409.29,4826
2021-12-06,73.3,409.29,4904
2021-12-07,73.41,409.29,4943
2021-12-08,73.54,409.29,4894
2021-12-09,73.65,409.29,4939
2021-12-10,73.74,409.29,4945
2021-12-11,73.83,409.29,4905
2021-12-12,73.85,359,4907
2021-12-13,73.92,359,4925
2021-12-14,74.02,359,4895
2021-12-15,74.15,359,4826
2021-12-16,74.27,359,4765
2021-12-17,74.4,359,4685
2021-12-18,74.53,359,4660
2021-12-19,74.58,284.86,4640
2021-12-20,74.67,284.86,4620
2021-12-21,74.79,284.86,4562
2021-12-22,74.91,284.86,4470
2021-12-23,74.98,284.86,4384
2021-12-24,74.99,284.86,4282
2021-12-25,74.99,284.86,4273
2021-12-26,75,183.86,4234
2021-12-27,75.06,183.86,4206
2021-12-28,75.13,183.86,4128
2021-12-29,75.21,183.86,4004
2021-12-30,75.27,183.86,3913
2021-12-31,75.27,183.86,3832
2022-01-01,75.28,183.86,3825
2022-01-02,75.3,147,3806
2022-01-03,75.34,147,3802
2022-01-04,75.41,147,3670
2022-01-05,75.49,147,3561
2022-01-06,75.55,147,3439
2022-01-07,75.62,147,3380
2022-01-08,75.67,147,3314
2022-01-09,75.69,124.29,3273
2022-01-10,75.74,124.29,3249
2022-01-11,75.8,124.29,3153
2022-01-12,75.87,124.29,3048
2022-01-13,75.94,124.29,2956
2022-01-14,76.02,124.29,2868
2022-01-15,76.09,124.29,2797
2022-01-16,76.11,99,2742
2022-01-17,76.16,99,2744
2022-01-18,76.22,99,2667
2022-01-19,76.29,99,2570
2022-01-20,76.36,99,2447
2022-01-21,76.42,99,2418
2022-01-22,76.47,99,2398
2022-01-23,76.49,123.86,2424
2022-01-24,76.52,123.86,2432
2022-01-25,76.57,123.86,2396
2022-01-26,76.62,123.86,2364
2022-01-27,76.67,123.86,2273
2022-01-28,76.72,123.86,2259
2022-01-29,76.75,123.86,2222
2022-01-30,76.76,159.57,2268
2022-01-31,76.79,159.57,2304
2022-02-01,76.82,159.57,2259
2022-02-02,76.86,159.57,2311
2022-02-03,76.89,159.57,2262
2022-02-04,76.92,159.57,2306
2022-02-05,76.94,159.57,2306
2022-02-06,76.95,214.86,2343
2022-02-07,76.96,214.86,2375
2022-02-08,76.99,214.86,2392
2022-02-09,77.01,214.86,2397
2022-02-10,77.04,214.86,2396
2022-02-11,77.06,214.86,2403
2022-02-12,77.07,214.86,2404
2022-02-13,77.07,243.57,2432
2022-02-14,77.08,243.57,2475
